car name,price,engine_capacity,cylinder,horse_power,top_speed,seats,brand,country
Fiat 500e 2021 La Prima,TBD,0.0,"N/A, Electric",Single,Automatic,150,fiat,ksa
Peugeot Traveller 2021 L3 VIP,"SAR 140,575",2.0,4,180,8 Seater,8.8,peugeot,ksa
Suzuki Jimny 2021 1.5L Automatic,"SAR 98,785",1.5,4,102,145,4 Seater,suzuki,ksa
Ford Bronco 2021 2.3T Big Bend,"SAR 198,000",2.3,4,420,4 Seater,7.5,ford,ksa
Honda HR-V 2021 1.8 i-VTEC LX,Orangeburst Metallic,1.8,4,140,190,5 Seater,honda,ksa
Honda HR-V 2021 1.8 i-VTEC EX,"SAR 95,335",1.8,4,140,190,5 Seater,honda,ksa
Peugeot Expert 2021 Van L3 A/T,"SAR 82,845",2.0,4,120,170,N A,peugeot,ksa
Peugeot Expert 2021 Van L3 M/T,"SAR 76,545",2.0,4,120,170,N A,peugeot,ksa
Renault Koleos 2021 2.5L LE (4WD),"SAR 116,900",2.5,4,170,199,5 Seater,renault,ksa
Ford Bronco 2021 2.7T Outer Banks,"SAR 238,000",2.7,6,542,5 Seater,6.9,ford,ksa
Suzuki Jimny 2021 1.5L M/T,"SAR 91,885",1.5,4,102,145,4 Seater,suzuki,ksa
Honda HR-V 2021 1.8 i-VTEC DX,"SAR 72,335",1.8,4,140,190,5 Seater,honda,ksa
Aston Martin DBS Superleggera Volante 2021 5.2T V12,TBD,5.2,12,900,N A,3.6,aston-martin,ksa
GAC GS8 2021 2.0T GL (2WD),"SAR 111,515",2.0,4,198,200,7 Seater,gac,ksa
Aston Martin DB11 AMR 2021 5.2T V12,"SAR 1,095,650",5.2,12,700,N A,3.7,aston-martin,ksa
GAC GS4 2021 1.5T GE,"SAR 73,485",1.5,4,152,180,5 Seater,gac,ksa
Toyota Highlander 2021 2.5L Hybrid GLE (AWD),Ruby Flare Pearl,2.5,4,Double,CVT,7 Seater,toyota,ksa
Aston Martin DB11 2021 4.0T V8 Volante,"SAR 1,043,477",4.0,8,503,322,4 Seater,aston-martin,ksa
Toyota Highlander 2021 2.5L Hybrid LE (FWD),Ruby Flare Pearl,2.5,4,Double,CVT,7 Seater,toyota,ksa
Toyota Highlander 2021 2.5L Hybrid Limited (FWD),"SAR 179,314",2.5,4,Double,CVT,7 Seater,toyota,ksa
Aston Martin DBS Superleggera 2021 5.2T V12,"SAR 1,386,462",5.2,12,900,4 Seater,3.4,aston-martin,ksa
GAC GS4 2021 1.5T GS,"SAR 64,400",1.5,4,152,180,5 Seater,gac,ksa
Genesis GV80 2021 3.5T Royal (AWD),Following,3.5,6,530,7 Seater,5.5,genesis,ksa
Toyota Highlander 2021 2.5L Hybrid Limited (AWD),"SAR 187,220",2.5,4,Double,CVT,7 Seater,toyota,ksa
Aston Martin DB11 2021 4.0T V8 Coupe,"SAR 963,375",4.0,8,503,300,4 Seater,aston-martin,ksa
Hyundai Palisade 2021 3.8L GDi (AWD) Premium - Nappa,"SAR 200,200",3.8,6,355,8 Seater,7.7,hyundai,ksa
Toyota Corolla 2021 1.6L XLI Executive,"SAR 78,101",1.6,4,121,190,5 Seater,toyota,ksa
Toyota Corolla 2021 1.6L GLI,"SAR 76,527",1.6,4,121,190,5 Seater,toyota,ksa
Toyota Corolla 2021 1.6L XLI,"SAR 74,572",1.6,4,121,190,5 Seater,toyota,ksa
Toyota Corolla 2021 1.6L XLI Executive Moonroof,"SAR 81,631",1.6,4,121,190,5 Seater,toyota,ksa
Lincoln Aviator 2021 3.0T V6 Reserve,Following,3.0,6,400,250,7 Seater,lincoln,ksa
Hyundai Palisade 2021 3.5L GDi (FWD),"SAR 142,285",3.5,6,335,7 Seater,7.7,hyundai,ksa
Lincoln Aviator 2021 3.0T V6 Presidential,Following,3.0,6,400,250,7 Seater,lincoln,ksa
Toyota Corolla 2021 1.6L GLI Moonroof,"SAR 87,551",1.6,4,121,190,5 Seater,toyota,ksa
Toyota Corolla 2021 2.0L GLI Moonroof,"SAR 99,392",2.0,4,168,200,5 Seater,toyota,ksa
MG HS 2021 2.0T Comfort,"SAR 85,850",2.0,4,231,210,5 Seater,mg,ksa
MG HS 2021 2.0T Luxury (AWD),"SAR 101,950",2.0,4,231,210,5 Seater,mg,ksa
Toyota Corolla 2021 1.8L XLI Executive Hybrid,"SAR 89,942",1.8,4,121,190,5 Seater,toyota,ksa
Toyota Corolla 2021 1.8L GLI Moonroof Hybrid,"SAR 98,936",1.8,4,121,190,5 Seater,toyota,ksa
Toyota Supra 2021 3.0T GR,"SAR 239,085",3.0,6,382,250,2 Seater,toyota,ksa
Chevrolet Corvette 2021 6.2L 2LT Convertible,"SAR 394,300",6.2,8,495,312,2 Seater,chevrolet,ksa
Chevrolet Corvette 2021 6.2L 3LT Coupe,"SAR 382,700",6.2,8,495,312,2 Seater,chevrolet,ksa
Mercedes-Benz GLB 2021 250 4MATIC,TBD,0.0,4,224,236,N A,mercedes-benz,ksa
Kia Sportage 2021 2.0L MPI EX (FWD),Clear White,2.0,4,155,181,5 Seater,kia,ksa
Volkswagen Passat 2021 2.5L Highline,TBD,2.5,4,170,190,N A,volkswagen,ksa
Land Rover Range Rover Evoque 2021 2.0T R-Dynamic HSE (200 PS),"SAR 275,425",2.0,4,200,216,N A,land-rover,ksa
Ford Transit 2021 3.7L 150XL (Medium Roof),"SAR 156,200",3.7,6,275,158,2 Seater,ford,ksa
Kia Sportage 2021 2.0L MPI LX (FWD),"SAR 82,610",2.0,4,155,181,5 Seater,kia,ksa
Volkswagen Passat 2021 2.5L Trendline,TBD,2.5,4,170,190,N A,volkswagen,ksa
Land Rover Range Rover Evoque 2021 2.0T R-Dynamic HSE (250 PS),"SAR 295,090",2.0,4,250,230,N A,land-rover,ksa
Land Rover Range Rover Evoque 2021 2.0T S (200 PS) AWD,"SAR 221,145",2.0,4,200,216,N A,land-rover,ksa
Ford Figo Sedan 2021 1.5L Ambient,"SAR 48,549",1.5,N/A,112,172,5 Seater,ford,ksa
